#EPIC,    ra,        dec,      Kp,   list
60018240, 355.529166667, -3.09833333333, 13.38, hot_stars
60018241, 356.1625, -1.81, 12.54, hot_stars
60018243, 359.75, -9.52666666667, 13.33, hot_stars
60018244, 0.197130833333, 2.38488527778, 9.5, hot_stars
60018252, 358.97155375, 1.12017583333, 9.57, hot_stars
60018253, 4.71467125, 0.0701569444444, 9.57, hot_stars
60018257, 355.463498333, -8.35686083333, 9.58, hot_stars
60018261, 1.04622479167, -4.92611305556, 9.6, hot_stars
60018263, 353.413162083, -1.05006444444, 9.61, hot_stars
60018267, 2.11684416667, 3.01317611111, 9.63, hot_stars
60018269, 0.19044, -7.49298083333, 9.63, hot_stars
60018272, 354.903928333, 1.50226777778, 9.64, hot_stars
60018273, 358.843795083, -1.07933516667, 9.64, hot_stars
60018275, 1.68446791667, -5.74176194444, 9.65, hot_stars
60018276, 0.5566375, -0.485247222222, 9.66, hot_stars
60018277, 354.731254167, -0.198077777778, 9.66, hot_stars
60018280, 358.293349583, -1.57035388889, 9.67, hot_stars
60018283, 356.521340833, -3.30515833333, 9.68, hot_stars
60018290, 358.979190833, -3.11857, 9.75, hot_stars
60018291, 359.155785, 0.692725277778, 9.75, hot_stars
60018292, 352.162156667, -4.45671194444, 9.76, hot_stars
60018300, 4.62670125, -2.42631055556, 9.84, hot_stars
60018305, 4.80385, -5.0487625, 9.88, hot_stars
60018306, 358.9646625, -0.559880555556, 9.88, hot_stars
60018307, 0.425194541667, -1.13995902778, 9.89, hot_stars
60018312, 354.9329125, 3.51247222222, 9.9, hot_stars
60018313, 354.37021375, 2.13873777778, 9.9, hot_stars
60018317, 358.867739167, 0.637224722222, 9.92, hot_stars
60018329, 359.047525833, -3.97634444444, 9.98, hot_stars
60018330, 355.492725417, 1.35438111111, 9.98, hot_stars
60018331, 4.56949583333, -0.7147, 9.98, hot_stars
60018341, 355.3264595, 3.63010916667, 10.04, hot_stars
60018343, 2.24157541667, 2.94501027778, 10.05, hot_stars
60018345, 4.45114104167, -6.18827336111, 10.06, hot_stars
60018351, 355.057104333, -1.68423738889, 10.08, hot_stars
60018352, 354.909430417, -3.82500194444, 10.08, hot_stars
